x_region,y_region,samples,successes,failures,success_rate_percent,mean_object_lift
"(0.399, 0.45]","(-0.201, -0.1]",6,2,4,33.33333333333333,0.06131344909469286
"(0.399, 0.45]","(-0.1, 0.0]",7,5,2,71.42857142857143,0.1312560558851276
"(0.45, 0.5]","(-0.1, 0.0]",8,8,0,100.0,0.18394958646968004
"(0.45, 0.5]","(0.0, 0.1]",8,8,0,100.0,0.18392755277454848
"(0.55, 0.6]","(-0.201, -0.1]",8,8,0,100.0,0.18385778367519376
"(0.55, 0.6]","(0.0, 0.1]",8,8,0,100.0,0.18388872966170308
"(0.55, 0.6]","(0.1, 0.2]",8,8,0,100.0,0.18339244043454525
"(0.399, 0.45]","(0.1, 0.2]",7,7,0,100.0,0.18324758884097844
"(0.5, 0.55]","(-0.1, 0.0]",7,7,0,100.0,0.18399220199457234
"(0.5, 0.55]","(-0.201, -0.1]",6,6,0,100.0,0.18392695051928357
"(0.55, 0.6]","(-0.1, 0.0]",6,6,0,100.0,0.1839209642882148
"(0.399, 0.45]","(0.0, 0.1]",5,5,0,100.0,0.18378991149365898
"(0.45, 0.5]","(-0.201, -0.1]",5,5,0,100.0,0.1839443143457174
"(0.45, 0.5]","(0.1, 0.2]",5,5,0,100.0,0.1834962215274572
"(0.5, 0.55]","(0.1, 0.2]",5,5,0,100.0,0.18352014683187007
"(0.5, 0.55]","(0.0, 0.1]",1,1,0,100.0,0.1840280499309301
