source_episode,object_x,object_y,policy,dx,dy,dz,pregrasp_success,pregrasp_distance,grasp_success,alignment_error,descent_error,descent_residual_x,descent_residual_y,descent_residual_z,lift_tracking_error,object_lift,object_xy_motion,hand_object_distance
14,0.4063156247138977,-0.0965389907360076,original,-0.005,-0.005,0.0,1,0.039500731974840164,0,0.008048505040539588,0.022313078540907562,-0.0007601130008697554,-0.00663304060697556,-0.021290807276964197,0.012661716092112994,1.590326428413391e-05,0.002589695259625133,0.322069860502109
27,0.4140132665634155,-0.096694678068161,original,-0.005,-0.005,0.0,1,0.038622889667749405,0,0.007895196353337422,0.02234227643877339,-0.0011770176887512251,-0.006550063490867619,-0.021328117921948442,0.01267687527055325,3.935582935810089e-05,0.002383913698912598,0.3221018828794225
28,0.4204081296920776,-0.1092793270945549,targeted,-0.005,-0.005,0.0,1,0.03632752597332001,0,0.00589655350719263,0.021745034066800766,0.0009691965579986528,-0.004768242239952092,-0.021193655431270608,0.012352423647375273,4.822760820388794e-05,0.0026107253956843576,0.32193460602171653
29,0.4126269817352295,-0.1127190440893173,targeted,-0.005,-0.005,0.0,1,0.03791622444987297,0,0.0058907740966823875,0.021630196237258845,0.0011967968940734819,-0.004953225255012517,-0.021021384969353685,0.012319483230545488,1.837126910686493e-05,0.002137134597889585,0.32187681072664315
32,0.4252530634403229,-0.1087189391255378,targeted,-0.005,-0.005,0.0,1,0.03552308306097984,0,0.005994389684250416,0.021796157187253452,0.0008304071426391557,-0.00466949969530106,-0.02127389632165433,0.012371580221447931,1.1935830116271973e-05,0.00213871121370527,0.3219943596519992
67,0.4106421172618866,-0.1034040749073028,targeted,-0.005,-0.005,0.0,1,0.037347082048654556,0,0.005691891872190925,0.021598931744301678,0.0013486397266387895,-0.005051684677600865,-0.020956514626741418,0.012297443651435761,7.119216024875641e-05,0.0021255231572717007,0.32175468947186886
14,0.4063156247138977,-0.0965389907360076,original,-0.005,-0.005,0.005,1,0.039500731974840164,0,0.008048505040539588,0.01824074314884131,-0.0007043528556823775,-0.0064497712254524275,-0.01704784587025643,0.012699180144414467,9.480863809585571e-06,0.002372451098298712,0.3227619367765979
27,0.4140132665634155,-0.096694678068161,original,-0.005,-0.005,0.005,1,0.038622889667749405,0,0.007895196353337422,0.018283388438608293,-0.0011012601852417037,-0.006384712755680089,-0.017096928432583813,0.012713415908875937,3.6617740988731384e-05,0.0026501957968017888,0.3228019182080274
28,0.4204081296920776,-0.1092793270945549,targeted,-0.005,-0.005,0.005,1,0.03632752597332001,0,0.00589655350719263,0.017117462143416837,0.0009475302696227983,-0.004560356140136723,-0.016471576988697056,0.01237978562397037,-3.3229589462280273e-06,0.0023534108210024616,0.32250462466271024
29,0.4126269817352295,-0.1127190440893173,targeted,-0.005,-0.005,0.005,1,0.03791622444987297,0,0.0058907740966823875,0.01692872851131791,0.0012034130096435502,-0.004797739088535313,-0.016189976707100873,0.012345925085833464,1.1548399925231934e-07,0.0020933505665647117,0.32237137762125373
