dx,dy,dz,trials,successes,mean_descent_error,mean_abs_residual_x,mean_abs_residual_y,mean_abs_residual_z,mean_object_lift,success_rate_percent,correction_magnitude
0.01,-0.005,0.0,6,1,0.020120756673416198,0.0053712423642476165,0.0052309146026769835,0.01849274887392913,0.030465203647812203,16.666666666666668,0.011180339887498949
0.0,0.0,0.0,6,0,0.02176862185341215,0.002230231960614467,0.004646661380926717,0.021137816123664332,-2.7896215518315635e-06,0.0,0.0
0.0,0.0,0.005,6,0,0.0172288024414063,0.0019605904817580665,0.004488193740447317,0.016500702550013836,-2.4512410163879395e-06,0.0,0.005
0.0,0.005,0.0,6,0,0.021567846540582167,0.0022139598925908,0.003815245081980967,0.02110606919974085,-2.7896215518315635e-06,0.0,0.005
-0.005,0.0,0.0,6,0,0.021687321338888083,0.0012048019965489167,0.0046659683187802005,0.021136090072492716,-2.7896215518315635e-06,0.0,0.005
0.0,-0.005,0.0,6,0,0.021975486360587684,0.0022345135609308495,0.005382720182339317,0.021170967482030362,3.903917968273163e-05,0.0,0.005
0.005,0.0,0.0,6,0,0.022008711991229297,0.004052256345748849,0.0046125228206316165,0.021085273387531415,-3.3356870214144387e-06,0.0,0.005
0.0,0.005,0.005,6,0,0.017084688488527167,0.00208440423011775,0.0036378840108712163,0.01655493439485625,-2.7896215518315635e-06,0.0,0.007071067811865475
-0.005,0.0,0.005,6,0,0.017176200896106834,0.0011752380927403168,0.00450457011659935,0.0165241268649697,-4.324751595656077e-06,0.0,0.007071067811865475
0.0,-0.005,0.005,6,0,0.017521254303749532,0.0020897040764490168,0.005180898855129832,0.016585459423561866,6.20633363723755e-06,0.0,0.007071067811865475
0.005,0.0,0.005,6,0,0.017547788174810716,0.003663768172264067,0.004419049868981016,0.016520443173746232,-2.7896215518315635e-06,0.0,0.007071067811865475
-0.005,0.005,0.0,6,0,0.02147337201380035,0.0013258093595504333,0.00382816438873605,0.021080735052625282,-3.0988206466039023e-06,0.0,0.007071067811865475
