episode,policy,object_x,object_y,object_z,pregrasp_success,initial_pregrasp_distance,final_pregrasp_distance,rl_steps,rl_reward,grasp_attempted,grasp_success,full_pipeline_success,alignment_error,descent_error,lift_tracking_error,object_lift_m,object_xy_motion_m,final_hand_object_distance_m,object_final_x,object_final_y,object_final_z
1,original,0.4999237656593323,0.13825470209121704,0.029892245307564735,1,0.4739699363708496,0.033901117742061615,36,-1.6364992311596858,1,1,1,0.0057388186850519315,0.006412501564922817,0.015436074475022028,0.18360724113881588,0.003344021735276415,0.11621154890113489,0.5002776980400085,0.13492946326732635,0.21349948644638062
2,original,0.4711306095123291,0.130684956908226,0.029892245307564735,1,0.4607950747013092,0.032789070159196854,36,-1.4753104931116106,1,1,1,0.0025328095500313187,0.006901900885170762,0.01554172234804678,0.18349852226674557,0.0038649531543776114,0.11630755739445384,0.4719637334346771,0.12691086530685425,0.2133907675743103
3,original,0.4637109637260437,0.08574244379997253,0.029892245307564735,1,0.447465181350708,0.036571744829416275,36,-1.3824054683744942,1,1,1,0.0033146724764060546,0.006842072642773555,0.015152986951728762,0.18374699912965298,0.0035557579801087638,0.11632898445597821,0.463620126247406,0.08218784630298615,0.2136392444372177
4,original,0.5877706408500671,0.09752026200294495,0.029892245307564735,1,0.506608784198761,0.0396517738699913,44,-2.9197549976408474,1,1,1,0.006645880906752262,0.0036548039759777724,0.015137587789791365,0.18375336192548275,0.0016984640122410589,0.11623413441660957,0.5860910415649414,0.09726782143115997,0.21364560723304749
5,targeted,0.47525420784950256,-0.13478736579418182,0.029892245307564735,1,0.4634562134742737,0.03769597038626671,37,-1.5630620871484258,1,1,1,0.00855200002459437,0.006462393921275372,0.015106983022633073,0.183872913941741,0.004312535379696549,0.11647574100772887,0.47541821002960205,-0.13047794997692108,0.21376515924930573
6,targeted,0.5236681699752808,-0.1381833851337433,0.029892245307564735,1,0.4840995669364929,0.03683321550488472,38,-1.8637930177152127,1,1,1,0.008734572148279137,0.005271171277895264,0.015004176211179826,0.18397012911736965,0.004085652243884406,0.11650801398473269,0.5231707692146301,-0.1341281235218048,0.2138623744249344
7,original,0.4905300438404083,0.07820850610733032,0.029892245307564735,1,0.4561949074268341,0.038082800805568695,35,-1.3881455224752433,1,1,1,0.0026123530963013853,0.006922813040099765,0.015054017161495405,0.18397248350083828,0.0033528862212328313,0.11579998172835525,0.48977914452552795,0.07494078576564789,0.21386472880840302
8,targeted,0.4446248412132263,-0.15907247364521027,0.02989335171878338,1,0.45989692211151123,0.039107054471969604,44,-2.0819876520335674,1,1,1,0.008401487699528996,0.005059401760974254,0.015062990914493193,0.18401549942791462,0.004246555328732491,0.11672971575525412,0.4448557198047638,-0.15483219921588898,0.213908851146698
9,original,0.5867630243301392,0.1425125151872635,0.029892245307564735,1,0.5166113972663879,0.03839066997170448,48,-3.3465197224915,1,1,1,0.006460839477397784,0.0038233047839932336,0.015617264173058016,0.18330671451985836,0.0012131670832703047,0.1161989375590252,0.5855504870414734,0.14247342944145203,0.2131989598274231
10,original,0.4299647808074951,0.016445565968751907,0.029892245307564735,1,0.4286106526851654,0.032641615718603134,37,-1.3552109988033774,1,1,1,0.003463535853587931,0.005383744275717282,0.014848583498766546,0.18377340398728848,0.0013003090726474709,0.116165643688745,0.4286668598651886,0.016524337232112885,0.2136656492948532
