episode,reach_policy,object_x,object_y,object_z,pregrasp_success,pregrasp_error,rl_steps,risk_region,grasp_strategy,grasp_success,full_success,object_lift,direct_or_staged
1,original,0.4999237656593323,0.13825470209121704,0.029892245307564735,1,0.033901117742061615,36,0,direct,1,1,0.18360724113881588,direct
2,original,0.4711306095123291,0.130684956908226,0.029892245307564735,1,0.032789070159196854,36,0,direct,1,1,0.18349852226674557,direct
3,original,0.4637109637260437,0.08574244379997253,0.029892245307564735,1,0.036571744829416275,36,0,direct,1,1,0.18374699912965298,direct
4,original,0.5877706408500671,0.09752026200294495,0.029892245307564735,1,0.0396517738699913,44,0,direct,1,1,0.18375336192548275,direct
5,targeted,0.47525420784950256,-0.13478736579418182,0.029892245307564735,1,0.03769597038626671,37,0,direct,1,1,0.183872913941741,direct
6,targeted,0.5236681699752808,-0.1381833851337433,0.029892245307564735,1,0.03683321550488472,38,0,direct,1,1,0.18397012911736965,direct
7,original,0.4905300438404083,0.07820850610733032,0.029892245307564735,1,0.038082800805568695,35,0,direct,1,1,0.18397248350083828,direct
8,targeted,0.4446248412132263,-0.15907247364521027,0.02989335171878338,1,0.039107054471969604,44,0,direct,1,1,0.18401549942791462,direct
9,original,0.5867630243301392,0.1425125151872635,0.029892245307564735,1,0.03839066997170448,48,0,direct,1,1,0.18330671451985836,direct
10,original,0.4299647808074951,0.016445565968751907,0.029892245307564735,1,0.032641615718603134,37,0,direct,1,1,0.18377340398728848,direct
11,original,0.4472644627094269,0.19853805005550385,0.029892245307564735,1,0.03508329764008522,36,0,direct,1,1,0.18344797752797604,direct
12,original,0.5177942514419556,-0.027954546734690666,0.029892245307564735,1,0.036962851881980896,35,0,direct,1,1,0.18401028774678707,direct
13,original,0.48731932044029236,-0.05199943855404854,0.029892245307564735,1,0.0373835563659668,35,0,direct,1,1,0.18397154472768307,direct
14,original,0.4063156247138977,-0.09653899073600769,0.029895447194576263,1,0.039582494646310806,48,1,staged,1,1,0.17133864015340805,staged
15,targeted,0.5997654795646667,-0.19837136566638947,0.029892245307564735,1,0.03631441295146942,44,0,direct,1,1,0.18373333476483822,direct
16,targeted,0.5530397295951843,-0.18206623196601868,0.029892245307564735,1,0.034798651933670044,42,0,direct,1,1,0.18385920487344265,direct
17,original,0.4500458240509033,-0.09112994372844696,0.029895147308707237,1,0.03830908611416817,38,0,direct,1,1,0.18384515680372715,direct
18,original,0.5208714008331299,0.17011629045009613,0.029892245307564735,1,0.039245348423719406,37,0,direct,1,1,0.18347293697297573,direct
19,original,0.4757688641548157,0.04913604259490967,0.029892245307564735,1,0.03777248039841652,35,0,direct,1,1,0.18397017382085323,direct
20,targeted,0.5073592066764832,-0.1151486411690712,0.029892245307564735,1,0.03511069715023041,36,0,direct,1,1,0.18388796411454678,direct
21,targeted,0.47275277972221375,-0.16766761243343353,0.029892245307564735,1,0.03714335337281227,44,0,direct,1,1,0.18397029303014278,direct
22,original,0.42665690183639526,0.1486402302980423,0.029892245307564735,1,0.03288286551833153,37,0,direct,1,1,0.18311688862740993,direct
23,original,0.48267728090286255,-0.00020031763415317982,0.029892245307564735,1,0.03505542501807213,35,0,direct,1,1,0.183939715847373,direct
24,targeted,0.4979121685028076,-0.11231844127178192,0.029892245307564735,1,0.0338919460773468,36,0,direct,1,1,0.18390939198434353,direct
25,original,0.5203129053115845,0.15215672552585602,0.029892245307564735,1,0.03581347316503525,37,0,direct,1,1,0.18351898156106472,direct
26,targeted,0.496730774641037,-0.15804611146450043,0.029892245307564735,1,0.03628292679786682,42,0,direct,1,1,0.18399094603955746,direct
27,original,0.4140132665634155,-0.09669467806816101,0.02989283949136734,1,0.03977680206298828,46,1,staged,1,1,0.174820177257061,staged
28,targeted,0.42040812969207764,-0.1092793270945549,0.02989225648343563,1,0.03864380344748497,36,1,staged,1,1,0.17624988593161106,staged
29,targeted,0.4126269817352295,-0.11271904408931732,0.02989225648343563,1,0.0335916206240654,37,1,staged,1,1,0.17372662760317326,staged
30,original,0.47115203738212585,0.11920879036188126,0.029892245307564735,1,0.03339659422636032,36,0,direct,1,1,0.18353340588510036,direct
31,original,0.5582219958305359,-0.044493965804576874,0.029892245307564735,1,0.03983777016401291,40,0,direct,1,1,0.1838990356773138,direct
32,targeted,0.4252530634403229,-0.10871893912553787,0.02989213727414608,1,0.037716783583164215,36,1,staged,1,1,0.18123125471174717,staged
33,original,0.47194910049438477,-0.0379306860268116,0.029892245307564735,1,0.038139160722494125,35,0,direct,1,1,0.1839627232402563,direct
34,original,0.5150399804115295,0.07431288808584213,0.029892245307564735,1,0.03805779665708542,35,0,direct,1,1,0.18402804993093014,direct
35,original,0.5780594348907471,-0.0576285719871521,0.029892245307564735,1,0.03822089731693268,41,0,direct,1,1,0.18395679257810116,direct
36,original,0.575772762298584,0.042805835604667664,0.029909858480095863,1,0.03912445902824402,40,0,direct,1,1,0.1838881429284811,direct
37,original,0.4639512002468109,0.15009455382823944,0.029892245307564735,1,0.03277046978473663,36,0,direct,1,1,0.18343173526227474,direct
38,targeted,0.5508911609649658,-0.11825907975435257,0.029892245307564735,1,0.03562813624739647,37,0,direct,1,1,0.1839360799640417,direct
39,original,0.5618690252304077,0.058728158473968506,0.029892245307564735,1,0.039440929889678955,37,0,direct,1,1,0.1839596088975668,direct
40,original,0.45042213797569275,0.122149258852005,0.029892245307564735,1,0.03776400908827782,36,0,direct,1,1,0.18341020308434963,direct
41,original,0.509515106678009,0.15213164687156677,0.029892245307564735,1,0.038148585706949234,36,0,direct,1,1,0.1836011167615652,direct
42,original,0.4454585015773773,0.03347413241863251,0.029892245307564735,1,0.0357905775308609,36,0,direct,1,1,0.18386643193662167,direct
43,targeted,0.5493201613426208,-0.10833802819252014,0.029892245307564735,1,0.03743056580424309,36,0,direct,1,1,0.18391401134431362,direct
44,original,0.5752484202384949,0.13881967961788177,0.029892245307564735,1,0.038820549845695496,46,0,direct,1,1,0.1833918746560812,direct
45,original,0.4367581307888031,0.1444404274225235,0.029892245307564735,1,0.03854246810078621,36,0,direct,1,1,0.18332726322114468,direct
46,original,0.5173906683921814,-0.03915748745203018,0.029892245307564735,1,0.03743455186486244,35,0,direct,1,1,0.1839896347373724,direct
47,original,0.5721294283866882,0.1257985383272171,0.029892245307564735,1,0.03832845017313957,45,0,direct,1,1,0.1835110541433096,direct
48,original,0.5656435489654541,0.08137483894824982,0.029892245307564735,1,0.03876635059714317,38,0,direct,1,1,0.1839317139238119,direct
49,original,0.5922770500183105,0.12656550109386444,0.029892245307564735,1,0.03949178382754326,47,0,direct,1,1,0.18341217003762722,direct
50,targeted,0.4958706200122833,-0.14863258600234985,0.029892245307564735,1,0.03963664546608925,39,0,direct,1,1,0.1839780267328024,direct
51,original,0.578605055809021,0.043126922100782394,0.029896730557084084,1,0.039851102977991104,40,0,direct,1,1,0.18389763496816158,direct
52,original,0.5675827860832214,0.028840241953730583,0.029892245307564735,1,0.03850141167640686,39,0,direct,1,1,0.18388270400464535,direct
53,original,0.5915114283561707,-0.06639625132083893,0.029892245307564735,1,0.037868160754442215,41,0,direct,1,1,0.18393907509744167,direct
54,original,0.5155012607574463,-0.06435654312372208,0.029892245307564735,1,0.038440000265836716,35,0,direct,1,1,0.18400388024747372,direct
55,original,0.5535690784454346,-0.042847614735364914,0.029892245307564735,1,0.03909900411963463,38,0,direct,1,1,0.18390666507184505,direct
56,original,0.4075511693954468,0.10092812776565552,0.029892245307564735,1,0.03966248780488968,40,0,direct,1,1,0.18309388123452663,direct
57,targeted,0.5699044466018677,-0.11695346981287003,0.029892245307564735,1,0.03934428095817566,37,0,direct,1,1,0.1839157547801733,direct
58,original,0.44340619444847107,0.06552135944366455,0.029892245307564735,1,0.03372194617986679,37,0,direct,1,1,0.18384823761880398,direct
59,original,0.47146445512771606,0.04984358698129654,0.029892245307564735,1,0.03883994743227959,35,0,direct,1,1,0.18396343849599361,direct
60,original,0.4819991886615753,-0.05640481412410736,0.029892245307564735,1,0.03867184370756149,35,0,direct,1,1,0.18396899662911892,direct
61,original,0.569022536277771,-0.04462803527712822,0.029917478561401367,1,0.03813786432147026,42,0,direct,1,1,0.1838531494140625,direct
62,original,0.47659850120544434,0.042277682572603226,0.029892245307564735,1,0.036795586347579956,35,0,direct,1,1,0.1839634533971548,direct
63,original,0.5615839958190918,0.09678143262863159,0.029892245307564735,1,0.03948501870036125,38,0,direct,1,1,0.1838275846093893,direct
64,original,0.42178699374198914,0.10842213034629822,0.029892245307564735,1,0.037556860595941544,38,0,direct,1,1,0.18309794925153255,direct
65,original,0.4436913728713989,-0.046529460698366165,0.029892245307564735,1,0.036845963448286057,36,1,staged,1,1,0.1837983187288046,staged
66,original,0.46089595556259155,0.04518342390656471,0.029892245307564735,1,0.03190990537405014,36,0,direct,1,1,0.18391465209424496,direct
67,targeted,0.4106421172618866,-0.10340407490730286,0.029892880469560623,1,0.03877592459321022,36,1,staged,1,1,0.1715087853372097,staged
68,original,0.42632046341896057,0.18752418458461761,0.029892245307564735,1,0.036977749317884445,36,0,direct,1,1,0.18342643044888973,direct
69,original,0.5648109316825867,0.1567971408367157,0.029892245307564735,1,0.0385003425180912,46,0,direct,1,1,0.18333426676690578,direct
70,original,0.5321927070617676,-0.0012067488860338926,0.029892245307564735,1,0.03937620669603348,35,0,direct,1,1,0.18399380706250668,direct
71,original,0.5056954026222229,-0.03952404484152794,0.029892245307564735,1,0.03609883785247803,35,0,direct,1,1,0.1839748527854681,direct
72,targeted,0.4463229775428772,-0.1439034342765808,0.02989296242594719,1,0.03925730288028717,39,0,direct,1,1,0.18386569991707802,direct
73,original,0.5031497478485107,-0.04577353969216347,0.029892245307564735,1,0.03635711595416069,35,0,direct,1,1,0.18396308086812496,direct
74,original,0.44991132616996765,-0.027395550161600113,0.029892245307564735,1,0.033496301621198654,36,1,staged,1,1,0.18383086286485195,staged
75,targeted,0.56833416223526,-0.14145244657993317,0.029892245307564735,1,0.03787415847182274,39,0,direct,1,1,0.18389125727117062,direct
76,original,0.5634113550186157,-0.06319674849510193,0.029892245307564735,1,0.03886467590928078,38,0,direct,1,1,0.18397106789052486,direct
77,original,0.4070136547088623,-0.020846690982580185,0.029892245307564735,1,0.0347207635641098,38,1,staged,1,1,0.18397111259400845,staged
78,original,0.48321887850761414,-0.007832917384803295,0.029892245307564735,1,0.03515037149190903,35,0,direct,1,1,0.1839443650096655,direct
79,original,0.5549178123474121,0.14809729158878326,0.029870985075831413,1,0.03860364109277725,44,0,direct,1,1,0.18345661647617817,direct
80,targeted,0.5864677429199219,-0.13701757788658142,0.029892245307564735,1,0.039794012904167175,39,0,direct,1,1,0.18384251557290554,direct
81,original,0.4007636606693268,0.015300954692065716,0.029892245307564735,1,0.03877238929271698,38,0,direct,1,1,0.18369256518781185,direct
82,original,0.4347471296787262,-0.005810865201056004,0.029892245307564735,1,0.038835350424051285,36,1,staged,1,1,0.18388929031789303,staged
83,original,0.49268507957458496,0.01858990453183651,0.029892245307564735,1,0.0337536595761776,35,0,direct,1,1,0.1839601006358862,direct
