x_region,y_region,samples,successes,failures,success_rate_percent,mean_final_distance
"(0.45, 0.5]","(-0.201, -0.1]",6,2,4,33.33333333333333,0.05437518469989297
"(0.399, 0.45]","(-0.201, -0.1]",3,1,2,33.33333333333333,0.049552424500385904
"(0.55, 0.6]","(-0.201, -0.1]",8,5,3,62.5,0.04658735124394292
"(0.5, 0.55]","(-0.201, -0.1]",12,9,3,75.0,0.04384746837119258
"(0.55, 0.6]","(0.1, 0.2]",5,5,0,100.0,0.039206989109516074
"(0.55, 0.6]","(-0.1, 0.0]",5,5,0,100.0,0.039162112027406645
"(0.55, 0.6]","(0.0, 0.1]",7,7,0,100.0,0.0387228280305862
"(0.5, 0.55]","(0.1, 0.2]",3,3,0,100.0,0.03803632532556847
"(0.5, 0.55]","(0.0, 0.1]",5,5,0,100.0,0.03789307400584216
"(0.399, 0.45]","(-0.1, 0.0]",9,9,0,100.0,0.03776407365997627
"(0.399, 0.45]","(0.1, 0.2]",5,5,0,100.0,0.03686482086777682
"(0.45, 0.5]","(-0.1, 0.0]",2,2,0,100.0,0.03670898824930185
"(0.399, 0.45]","(0.0, 0.1]",13,13,0,100.0,0.0364745654738866
"(0.45, 0.5]","(0.0, 0.1]",10,10,0,100.0,0.035744787007570236
"(0.5, 0.55]","(-0.1, 0.0]",1,1,0,100.0,0.0343425758183002
"(0.45, 0.5]","(0.1, 0.2]",6,6,0,100.0,0.03373096324503418
