episode,target_x,target_y,selected_policy,success,initial_distance,final_distance,steps,reward,final_ee_x,final_ee_y,final_ee_z
1,0.40160109208115347,-0.04564697964596612,original,1,0.42349785566329956,0.03906302899122238,38,-1.6334855777025235,0.4275248050689697,-0.01980951428413391,0.19364945590496063
2,0.41650412312172735,-0.0008393656948952333,original,1,0.4246276915073395,0.03817932307720184,37,-1.4537958714365953,0.4461233913898468,0.012537108734250069,0.2000357061624527
3,0.4897491266912849,0.08217133737013155,original,1,0.456577867269516,0.038564227521419525,35,-1.3981820355355739,0.4903582036495209,0.0941900834441185,0.2166384905576706
4,0.459557697440099,0.04850587622487987,original,1,0.4403882622718811,0.03285101056098938,36,-1.2833060467243191,0.47515669465065,0.058491699397563934,0.2071319818496704
5,0.5121804686032895,-0.16406090007068094,targeted,1,0.4871633052825928,0.036263592541217804,42,-2.168999977558851,0.510379433631897,-0.12863804399967194,0.17244850099086761
6,0.40178813681630626,-0.04708781060352557,original,1,0.4236973822116852,0.039202723652124405,38,-1.6355663475394273,0.42746415734291077,-0.020811086520552635,0.193679541349411
7,0.5793918647208859,-0.18842869189511907,targeted,1,0.5272695422172546,0.0374428890645504,42,-3.0189051002264016,0.5735690593719482,-0.1556129902601242,0.19706445932388306
8,0.5922999157035116,0.09808226245221985,original,1,0.5092407464981079,0.03800278529524803,45,-3.039408869892359,0.5629155039787292,0.12154405564069748,0.17449449002742767
9,0.5447107441429566,-0.12651634369640555,targeted,1,0.4907388389110565,0.0374344140291214,37,-1.9308859767019726,0.5277802348136902,-0.09545505046844482,0.19224292039871216
10,0.517427865518869,0.08654306557525482,original,1,0.4691295027732849,0.03977563604712486,35,-1.5769107165932654,0.5017930865287781,0.09621134400367737,0.2152729332447052
11,0.5818156145450122,-0.18352668224122284,targeted,1,0.526797890663147,0.034833863377571106,42,-2.978216863423585,0.5742059350013733,-0.15326079726219177,0.1954747438430786
12,0.42037039477676197,0.18792398721717496,original,1,0.4652794301509857,0.038135726004838943,36,-1.6974400359392163,0.4313861131668091,0.18921007215976715,0.21648745238780975
13,0.559219651265042,-0.05645835373094857,original,1,0.4848850965499878,0.03941866755485535,38,-2.036411958783865,0.5199872851371765,-0.05287979543209076,0.1813587248325348
14,0.4269988600978255,0.05876247033786758,original,1,0.4314732551574707,0.03980626165866852,37,-1.4613498547673238,0.45717865228652954,0.073701411485672,0.20122608542442322
15,0.5844105004251848,-0.11642569319929096,targeted,1,0.5087453126907349,0.03933095559477806,38,-2.415548006594179,0.5528630614280701,-0.09316590428352356,0.18326590955257416
16,0.5454150633793111,-0.12624353988965525,targeted,1,0.4910101294517517,0.037444401532411575,37,-1.936303790211677,0.5282322764396667,-0.09529584646224976,0.1922096610069275
17,0.5447441789419795,-0.14410097810353595,targeted,1,0.49557965993881226,0.036969106644392014,39,-2.120483772009613,0.5300712585449219,-0.11019985377788544,0.17853935062885284
18,0.5982733087750536,-0.18045977466494165,targeted,1,0.5345237255096436,0.035136282444000244,42,-3.180334656834602,0.5840432643890381,-0.15307995676994324,0.19680504500865936
19,0.4715068872183358,0.056465230234544084,original,1,0.44560691714286804,0.039448004215955734,35,-1.3006810730695726,0.482628732919693,0.06538650393486023,0.21678125858306885
20,0.5242425187648653,-0.13173740281543844,targeted,1,0.48255741596221924,0.03746798262000084,37,-1.7871970894932758,0.5130682587623596,-0.09865444153547287,0.19358322024345398
21,0.4198773814156147,-0.07856329229026669,original,1,0.432701051235199,0.039779309183359146,39,-1.7001131555438027,0.43421614170074463,-0.04176825284957886,0.1847873032093048
22,0.44404099722752355,0.09484655835077166,original,1,0.4428226053714752,0.03656473383307457,37,-1.4584610907733424,0.46408703923225403,0.11637183278799057,0.2017209231853485
23,0.46817709529962537,0.07340350888559022,original,1,0.4468567371368408,0.0333748497068882,36,-1.3349652689695342,0.4799196422100067,0.08767680823802948,0.20778968930244446
24,0.5946184206340492,0.07685220832958378,original,1,0.50689297914505,0.0376443974673748,44,-2.918204777687789,0.5673134922981262,0.1020522266626358,0.17395851016044617
25,0.47074196701514787,0.07762904551381866,original,1,0.4485001862049103,0.03342809900641441,36,-1.3487553666532044,0.48128175735473633,0.09281481057405472,0.20785216987133026
26,0.5779969036588495,-0.011515391266663316,original,1,0.49181365966796875,0.039322905242443085,44,-2.5461514921486383,0.5535736083984375,0.017093481495976448,0.17768293619155884
27,0.5151537624380685,-0.08592780950774209,original,1,0.468000590801239,0.03434258699417114,36,-1.608272189646959,0.50711590051651,-0.06214078143239021,0.2034303992986679
28,0.5339379146339687,-0.11798300587610067,targeted,1,0.48345947265625,0.03811363875865936,36,-1.7532231479883196,0.5202760696411133,-0.08996003866195679,0.20192524790763855
29,0.5452299850033806,0.17858355021709732,original,1,0.5068718791007996,0.039964936673641205,43,-2.6728770211339006,0.5116624236106873,0.19929936528205872,0.1735340803861618
30,0.5470322959293156,-0.13437952709208983,targeted,1,0.49394845962524414,0.036974262446165085,38,-2.0391488987207413,0.5298140048980713,-0.10193144530057907,0.18421295285224915
31,0.43120138215576287,0.15510093814291076,original,1,0.4558492600917816,0.03862824663519859,36,-1.5605798003077496,0.44537901878356934,0.1646202653646469,0.21464850008487701
32,0.5288454689860117,-0.15838466955755126,targeted,1,0.49255818128585815,0.039658814668655396,40,-2.1562147022783753,0.5212332606315613,-0.11976271867752075,0.17518122494220734
33,0.5710103411825931,0.027388405905747926,original,1,0.4886331856250763,0.03961983695626259,39,-2.2008273592591285,0.5320600867271423,0.03323135897517204,0.1757025420665741
34,0.48262605871928665,0.1274324711234313,original,1,0.4641096889972687,0.03189484775066376,36,-1.4969398969411856,0.4788472354412079,0.13832202553749084,0.20973919332027435
35,0.5031214148013724,0.09963174031874666,original,1,0.46551427245140076,0.03954353183507919,35,-1.5189836385846123,0.49298521876335144,0.11001792550086975,0.21678417921066284
36,0.4633227226460891,-0.19020748611229235,targeted,1,0.47846701741218567,0.039101652801036835,47,-2.629183675050734,0.4737550616264343,-0.1525813192129135,0.18209229409694672
37,0.444304381462836,0.06994847625207756,original,1,0.4382476806640625,0.03407495096325874,37,-1.3889743883907792,0.4662533104419708,0.08670854568481445,0.19996114075183868
38,0.49895047138071563,0.07529743642572784,original,1,0.4591604471206665,0.03709525987505913,35,-1.4121341259777545,0.4942983090877533,0.08481120318174362,0.2155514359474182
39,0.5178915849410457,0.06957432809446573,original,1,0.4665069282054901,0.038095831871032715,35,-1.5219675105810158,0.5019668340682983,0.07586609572172165,0.21403099596500397
