episode,global_step,episode_reward,episode_length,success,final_distance,moving_reward_20,success_rate_20,alpha,critic_loss,actor_loss
1,120,-33.843010129332534,120,0,0.24016395211219788,-33.843010129332534,0.0,0.20000000298023224,0.0,0.0
2,240,-31.105661117285464,120,0,0.24455036222934723,-32.474335623309,0.0,0.20000000298023224,0.0,0.0
3,360,-37.941028764750804,120,0,0.3188237249851227,-34.296566670456265,0.0,0.20000000298023224,0.0,0.0
4,480,-31.730260260403146,120,0,0.2477256804704666,-33.65499006794299,0.0,0.20000000298023224,0.0,0.0
5,600,-52.34460013050586,120,0,0.42496970295906067,-37.39291208045556,0.0,0.20000000298023224,0.0,0.0
6,720,-35.500896793361754,120,0,0.23257218301296234,-37.07757619927326,0.0,0.20000000298023224,0.0,0.0
7,840,-32.85955994762481,120,0,0.22231604158878326,-36.47500244903777,0.0,0.20000000298023224,0.0,0.0
8,960,-41.275774972904465,120,0,0.32940366864204407,-37.07509901452111,0.0,0.20000000298023224,0.0,0.0
9,1080,-19.91460065901279,120,0,0.14670896530151367,-35.16837697502019,0.0,0.19519388675689697,0.012857690453529358,-0.20631206035614014
10,1200,-44.392062009349466,120,0,0.3461171090602875,-36.090745478453115,0.0,0.1882898062467575,0.005726474802941084,-0.2174535095691681
11,1320,-46.402820932939655,120,0,0.3019093871116638,-37.02820688340643,0.0,0.1816300004720688,0.008254894986748695,-0.2355174422264099
12,1440,-30.764868159294124,120,0,0.19175539910793304,-36.50626198973041,0.0,0.17521028220653534,0.003751752432435751,-0.27178338170051575
13,1560,-53.96784682326018,120,0,0.41215604543685913,-37.84946082307885,0.0,0.16901573538780212,0.004098053090274334,-0.27147769927978516
14,1680,-18.13229507222771,120,0,0.07263119518756866,-36.441091840875195,0.0,0.16304732859134674,0.004300504922866821,-0.2552553117275238
15,1800,-29.077100867554552,120,0,0.19257141649723053,-35.95015910932049,0.0,0.15728922188282013,0.003587649902328849,-0.27049508690834045
16,1920,-41.87312496900559,120,0,0.2677263021469116,-36.320344475550804,0.0,0.1517389863729477,0.0033439123071730137,-0.23933124542236328
17,2040,-38.35177916318179,120,0,0.21573595702648163,-36.43984063364674,0.0,0.14638617634773254,0.0039345272816717625,-0.2578909993171692
18,2160,-14.797706320490684,120,0,0.12652157247066498,-35.2374998384714,0.0,0.14123187959194183,0.0040068961679935455,-0.29203319549560547
19,2280,-21.843559071086368,120,0,0.0884971171617508,-34.5325555875564,0.0,0.13625667989253998,0.0036851007025688887,-0.23737993836402893
20,2400,-24.969397184439007,120,0,0.12175081670284271,-34.05439766740053,0.0,0.1314568817615509,0.002866065129637718,-0.30845215916633606
